integrante,kata,tratamento,arquivos,loc,sloc,complexidade_media,mi_medio,duplicacao_pct,timestamp
pedro,kata01,ia,1,20,12,4.0,91.85,0.0,2026-09-23T19:54:18
pedro,kata02,ia,1,25,13,11.0,89.26,0.0,2026-09-23T19:54:18
pedro,kata03,ia,1,19,11,9.0,86.88,0.0,2026-09-23T19:54:18
pedro,kata04,ia,1,24,13,4.0,90.95,0.0,2026-09-23T19:54:18
